AccountDisabled 	The functionality you have requested has been administratively disabled for this account.
ActiveVpcPeeringConnectionPerVpcLimitExceeded 	You've reached the limit on the number of active VPC peering connections you can have for the specified VPC.
AddressLimitExceeded 	You've reached the limit on the number of Elastic IP addresses that you can allocate.

For more information, see Elastic IP address limit.
AsnConflict 	The Autonomous System Numbers (ASNs) of the specified customer gateway and the specified virtual private gateway are the same.
AttachmentLimitExceeded 	

You've reached the limit on the number of Amazon EBS volumes or network interfaces that can be attached to a single instance.

The number of Amazon EBS volumes that you can attach to an instance depends on the instance type. For more information, see Amazon EBS volume limits for Amazon EC2 instances in the Amazon EC2 User Guide.
BootForVolumeTypeUnsupported 	The specified volume type cannot be used as a boot volume. For more information, see Amazon EBS volume types.
BundlingInProgress 	The specified instance already has a bundling task in progress.
CannotDelete 	You cannot delete the 'default' security group in your VPC, but you can change its rules. For more information, see Amazon EC2 security groups.
CapacityBlockDescribeLimitExceeded 	You've reached the limit for this account. The returned message provides details.
ClientInvalidParameterValue 	A parameter specified in a request is not valid, is unsupported, or cannot be used. The returned message provides an explanation of the error value. For example, if you are launching an instance, you can't specify a security group and subnet that are in different VPCs.
ClientVpnAuthorizationRuleLimitExceeded 	You've reached the limit on the number of authorization rules that can be added to a single Client VPN endpoint.
ClientVpnCertificateRevocationListLimitExceeded 	You've reached the limit on the number of client certificate revocation lists that can be added to a single Client VPN endpoint.
ClientVpnEndpointAssociationExists 	The specified target network is already associated with the Client VPN endpoint.
ClientVpnEndpointLimitExceeded 	You've reached the limit on the number of Client VPN endpoints that you can create.
ClientVpnRouteLimitExceeded 	You've reached the limit on the number of routes that can be added to a single Client VPN endpoint.
ClientVpnTerminateConnectionsLimitExceeded 	The number of client connections you're attempting to terminate exceeds the limit.
ConcurrentCreateImageNoRebootLimitExceeded 	

The maximum number of concurrent CreateImage requests for the instance has been reached. Wait for the current CreateImage requests to complete, and then retry your request.
ConcurrentSnapshotLimitExceeded 	You've reached the limit on the number of concurrent snapshots you can create on the specified volume. Wait until the 'pending' requests have completed, and check that you do not have snapshots that are in an incomplete state, such as 'error', which count against your concurrent snapshot limit.
ConcurrentTagAccess 	You can't run simultaneous commands to modify a tag for a specific resource. Allow sufficient wait time for the previous request to complete, then retry your request.
CreditSpecificationUpdateInProgress 	The default credit specification for the instance family is currently being updated. It takes about five minutes to complete. For more information, see Set the default credit specification for the account.
CustomerGatewayLimitExceeded 	You've reached the limit on the number of customer gateways you can create for the AWS Region. For more information, see Amazon VPC quotas.
CustomerKeyHasBeenRevoked 	The KMS key cannot be accessed. For more information, see Amazon EBS encryption.
DeclarativePoliciesAccessDeniedException 	You do not have sufficient access to perform this action, or the specified TargetId does not exist, or the specified TargetId is not in your organization. To generate an account status report for declarative policies, the caller must be the management account or a delegated administrator for the organization and the specified TargetId must belong to your organization.
DeclarativePoliciesNotEnabledException 	Trusted access is not enabled. Trusted access must be enabled for the service for which the declarative policy will enforce a baseline configuration. The API uses the following service principal to identify the EC2 service: ec2.amazonaws.com. For more information on how to enable trusted access with the AWS CLI and AWS SDKs, see Using Organizations with other AWS services.
DeleteConversionTaskError 	The conversion task cannot be canceled.
DefaultSubnetAlreadyExistsInAvailabilityZone 	A default subnet already exists in the specified Availability Zone. You can have only one default subnet per Availability Zone.
DefaultVpcAlreadyExists 	A default VPC already exists in the AWS Region. You can only have one default VPC per Region.
DefaultVpcDoesNotExist 	There is no default VPC in which to carry out the request. If you've deleted your default VPC, you can create a new one. For more information, see Create a default VPC.
DependencyViolation 	The specified object has dependent resources. A number of resources in a VPC may have dependent resources, which prevent you from deleting or detaching them. Remove the dependencies first, then retry your request. For example, this error occurs if you try to delete a security group in a VPC that is in use by another security group.
DiskImageSizeTooLarge 	The disk image exceeds the allowed limit (for instance or volume import).
DuplicateSubnetsInSameZone 	For an interface VPC endpoint, you can specify only one subnet per Availability Zone.
EncryptedVolumesNotSupported 	Encrypted Amazon EBS volumes may only be attached to instances that support Amazon EBS encryption. For more information, see Amazon EBS encryption.
ExistingVpcEndpointConnections 	You cannot delete a VPC endpoint service configuration or change the load balancers for the endpoint service if there are endpoints attached to the service.
FleetNotInModifiableState 	The Spot Fleet request must be in the active state in order to modify it. For more information, see Spot Fleet request types.
FlowLogAlreadyExists 	A flow log with the specified configuration already exists.
FlowLogsLimitExceeded 	You've reached the limit on the number of flow logs you can create. For more information, see Amazon VPC quotas.
FilterLimitExceeded 	The request uses too many filters or too many filter values.
Gateway.NotAttached 	An internet gateway is not attached to a VPC. If you are trying to detach an internet gateway, ensure that you specify the correct VPC. If you are trying to associate an Elastic IP address with a network interface or an instance, ensure that an internet gateway is attached to the relevant VPC.
HostAlreadyCoveredByReservation 	The specified Dedicated Host is already covered by a reservation.
HostLimitExceeded 	You've reached the limit on the number of Dedicated Hosts that you can allocate. For more information, see Dedicated Hosts.
IdempotentInstanceTerminated 	The request to launch an instance uses the same client token as a previous request for which the instance has been terminated.
InaccessibleStorageLocation 	The specified Amazon S3 URL cannot be accessed. Check the access permissions for the URL.
InaccessibleStorageLocationException 	The specified Amazon S3 bucket can't be accessed. An S3 bucket must be available before generating an account status report for declarative policies (you can create a new one or use an existing one), you must own the bucket, it must be in the same Region in which the request was made, and it must have an appropriate bucket policy. For a sample S3 policy, see Sample Amazon S3 policy under Examples.
IncorrectInstanceState 	The instance is in an incorrect state for the requested action. For example, some instance attributes, such as user data, can only be modified if the instance is in a 'stopped' state.

If you are associating an Elastic IP address with a network interface, ensure that the instance that the interface is attached to is not in the 'pending' state.
IncorrectModificationState 	A new modification action on an EBS Elastic Volume cannot occur because the volume is currently being modified.
IncorrectSpotRequestState 	The Spot Instance request is in an incorrect state for the request. Spot request status information can help you track your Amazon EC2 Spot Instance requests. For more information, see Spot request status.
IncorrectState 	The resource is in an incorrect state for the request. This error can occur if you are trying to attach a volume that is still being created or detach a volume that is not in the 'available' state. Verify that the volume is in the 'available' state. If you are creating a snapshot, ensure that the previous request to create a snapshot on the same volume has completed. If you are deleting a virtual private gateway, ensure that it's detached from the VPC.
IncorrectStateException 	

The resource is in an incorrect state for the request. This error can occur if you're trying to cancel the generation of an account status report for declarative policies that already has the complete, cancelled, or error status. Cancelation is only possible for reports with a running status. This error can also occur when you're trying to get a summary for a report that has not yet reached the completed status. This error can also occur if you start report generation while another report is being generated. Only one report per organization can be generated at a time. For more information, see Generating the account status report for declarative policies.
IncompatibleHostRequirements 	There are no available or compatible Dedicated Hosts available on which to launch or start the instance.
InstanceCreditSpecification.NotSupported 	The specified instance does not use CPU credits for CPU usage; only T2 instances use CPU credits for CPU usage.
InstanceEventStartTimeCannotChange 	The specified scheduled event start time does not meet the requirements for rescheduling a scheduled event. For more information, see Limitations.
InstanceLimitExceeded 	You've reached the limit on the number of instances you can run concurrently. This error can occur if you are launching an instance or if you are creating a Capacity Reservation. Capacity Reservations count towards your On-Demand Instance limits. If your request fails due to limit constraints, increase your On-Demand Instance limit for the required instance type and try again. For more information, see EC2 On-Demand instance limits.
InsufficientCapacityOnHost 	There is not enough capacity on the Dedicated Host to launch or start the instance.
InstanceTpmEkPubNotFound 	The public Trusted Platform Module (TPM) Endorsement Key (EK) cannot be found.
InsufficientFreeAddressesInSubnet 	The specified subnet does not contain enough free private IP addresses to fulfill your request. Use the DescribeSubnets request to view how many IP addresses are available (unused) in your subnet. IP addresses associated with stopped instances are considered unavailable.
InsufficientReservedInstancesCapacity 	There is insufficient capacity for the requested Reserved Instances.
InterfaceInUseByTrafficMirrorSession 	The Traffic Mirror source that you are trying to create uses an interface that is already associated with a session. An interface can only be associated with a session, or with a target, but not both.
InterfaceInUseByTrafficMirrorTarget 	The Traffic Mirror source that you are trying to create uses an interface that is already associated with a target. An interface can only be associated with a session, or with a target, but not both. If the interface is associated with a target, it cannot be associated with another target.
InternetGatewayLimitExceeded 	You've reached the limit on the number of internet gateways that you can create. For more information, see Amazon VPC quotas.
InvalidAddress.Locked 	The specified Elastic IP address cannot be released from your account. A reverse DNS record may be associated with the Elastic IP address. To unlock the address, contact Support.
